constituency,ward,station_id,polling_station,registered_voters,voter_turnout
Emuhaya,North East Bunyore,38215107300101,Ebusiratsi Cog Primary School,617,1
Emuhaya,North East Bunyore,38215107300102,Ebusiratsi Cog Primary School,617,1
Emuhaya,North East Bunyore,38215107300103,Ebusiratsi Cog Primary School,616,1
Emuhaya,North East Bunyore,38215107300201,Musiakhupa Nursery School,412,1
Emuhaya,North East Bunyore,38215107300301,Ematsuli Primary School,379,1
Emuhaya,North East Bunyore,38215107300302,Ematsuli Primary School,378,1
Emuhaya,North East Bunyore,38215107300401,Eluhobe Primary School,366,1
Emuhaya,North East Bunyore,38215107300402,Eluhobe Primary School,366,1
Emuhaya,North East Bunyore,38215107300501,Esibuye Primary School,630,1
Emuhaya,North East Bunyore,38215107300502,Esibuye Primary School,629,1
Emuhaya,North East Bunyore,38215107300601,Ebukhooli Nursey School,503,1
Emuhaya,North East Bunyore,38215107300701,Emuhondo Primary School,689,1
Emuhaya,North East Bunyore,38215107300801,Mwituha Primary School,453,1
Emuhaya,North East Bunyore,38215107300802,Mwituha Primary School,452,1
Emuhaya,North East Bunyore,38215107300901,Ilungu Primary School,482,1
Emuhaya,North East Bunyore,38215107300902,Ilungu Primary School,482,1
Emuhaya,North East Bunyore,38215107300903,Ilungu Primary School,482,1
Emuhaya,North East Bunyore,38215107301001,Emusutswi Primary School,485,1
Emuhaya,North East Bunyore,38215107301002,Emusutswi Primary School,484,1
Emuhaya,North East Bunyore,38215107301101,Kilingili Primary School,509,1
Emuhaya,North East Bunyore,38215107301102,Kilingili Primary School,509,1
Emuhaya,North East Bunyore,38215107301201,Emurembe Primary School,408,1
Emuhaya,North East Bunyore,38215107301202,Emurembe Primary School,408,1
Emuhaya,North East Bunyore,38215107301301,Ebulamba Primary School,539,1
Emuhaya,North East Bunyore,38215107301401,Ikumu Primary School,384,1
Emuhaya,North East Bunyore,38215107301402,Ikumu Primary School,383,1
Emuhaya,North East Bunyore,38215107301501,Ebunangwe Primary School,563,1
Emuhaya,North East Bunyore,38215107301502,Ebunangwe Primary School,563,1
Emuhaya,North East Bunyore,38215107301601,Esiarambatsi Nursery School,379,1
Emuhaya,North East Bunyore,38215107301602,Esiarambatsi Nursery School,378,1
Emuhaya,North East Bunyore,38215107301701,Mukhombe Primary School,696,1
Emuhaya,North East Bunyore,38215107301702,Mukhombe Primary School,696,1
Emuhaya,North East Bunyore,38215107301801,Ebusiloli Primary School,356,1
Emuhaya,North East Bunyore,38215107301802,Ebusiloli Primary School,355,1
Emuhaya,Central Bunyore,38215107401901,Esirulo Primary School,592,1
Emuhaya,Central Bunyore,38215107401902,Esirulo Primary School,592,1
Emuhaya,Central Bunyore,38215107401903,Esirulo Primary School,592,1
Emuhaya,Central Bunyore,38215107402001,Ikalikha Nursery School,359,1
Emuhaya,Central Bunyore,38215107402002,Ikalikha Nursery School,358,1
Emuhaya,Central Bunyore,38215107402101,Elununi Primary School,526,1
Emuhaya,Central Bunyore,38215107402102,Elununi Primary School,526,1
Emuhaya,Central Bunyore,38215107402201,Emukunzi Village Polytechnic,558,1
Emuhaya,Central Bunyore,38215107402202,Emukunzi Village Polytechnic,558,1
Emuhaya,Central Bunyore,38215107402301,Emanyinya Primary School,555,1
Emuhaya,Central Bunyore,38215107402302,Emanyinya Primary School,554,1
Emuhaya,Central Bunyore,38215107402303,Emanyinya Primary School,554,1
Emuhaya,Central Bunyore,38215107402401,Ebucheli Nursery School,361,1
Emuhaya,Central Bunyore,38215107402402,Ebucheli Nursery School,361,1
Emuhaya,Central Bunyore,38215107402501,Mwibanda Nursery School,324,1
Emuhaya,Central Bunyore,38215107402601,Emusire Primary School,564,1
Emuhaya,Central Bunyore,38215107402602,Emusire Primary School,563,1
Emuhaya,Central Bunyore,38215107402701,Essunza Primary School,649,1
Emuhaya,Central Bunyore,38215107402702,Essunza Primary School,649,1
Emuhaya,Central Bunyore,38215107402703,Essunza Primary School,648,1
Emuhaya,Central Bunyore,38215107402801,Ebututi Nursery School,423,1
Emuhaya,Central Bunyore,38215107402901,Mundichiri Primary School,408,1
Emuhaya,Central Bunyore,38215107402902,Mundichiri Primary School,407,1
Emuhaya,Central Bunyore,38215107403001,Ebukhaya Primary School,629,1
Emuhaya,Central Bunyore,38215107403002,Ebukhaya Primary School,629,1
Emuhaya,Central Bunyore,38215107403101,Mwitukhu Primary School,353,1
Emuhaya,Central Bunyore,38215107403201,Muchula Primary School,414,1
Emuhaya,Central Bunyore,38215107403202,Muchula Primary School,414,1
Emuhaya,Central Bunyore,38215107403301,Ebulondi Primary School,511,1
Emuhaya,Central Bunyore,38215107403302,Ebulondi Primary School,510,1
Emuhaya,Central Bunyore,38215107403401,Essaba Primary School,670,1
Emuhaya,Central Bunyore,38215107403402,Essaba Primary School,670,1
Emuhaya,Central Bunyore,38215107403501,Esihola Nursery School,250,1
Emuhaya,West Bunyore,38215107503601,Esikhuyu Primary School,364,1
Emuhaya,West Bunyore,38215107503602,Esikhuyu Primary School,363,1
Emuhaya,West Bunyore,38215107503701,Isanda Primary School,383,1
Emuhaya,West Bunyore,38215107503801,Esiamatete Nursey School,340,1
Emuhaya,West Bunyore,38215107503901,Ebukanga Primary School,572,1
Emuhaya,West Bunyore,38215107503902,Ebukanga Primary School,572,1
Emuhaya,West Bunyore,38215107504001,Emmabwi Primary School,477,1
Emuhaya,West Bunyore,38215107504002,Emmabwi Primary School,476,1
Emuhaya,West Bunyore,38215107504101,Ebukobelo Nursery School,389,1
Emuhaya,West Bunyore,38215107504201,Essumba Primary School,663,1
Emuhaya,West Bunyore,38215107504301,Mwiyala Nursery School,396,1
Emuhaya,West Bunyore,38215107504401,Ekhakamba Nursery School,353,1
Emuhaya,West Bunyore,38215107504402,Ekhakamba Nursery School,353,1
Emuhaya,West Bunyore,38215107504501,Emmwatsi Primary School,598,1
Emuhaya,West Bunyore,38215107504601,Ebuyalu Primary School,450,1
Emuhaya,West Bunyore,38215107504602,Ebuyalu Primary School,450,1
Emuhaya,West Bunyore,38215107504701,Ilonje Nursery School,488,1
Emuhaya,West Bunyore,38215107504801,Enyahera Nursery School,434,1
Emuhaya,West Bunyore,38215107504802,Enyahera Nursery School,434,1
Emuhaya,West Bunyore,38215107504901,Esibila Primary School,402,1
Emuhaya,West Bunyore,38215107504902,Esibila Primary School,401,1
Emuhaya,West Bunyore,38215107505001,Esibakala Primary School,469,1
Emuhaya,West Bunyore,38215107505101,Ipali Nursery School,615,1
Emuhaya,West Bunyore,38215107505102,Ipali Nursery School,615,1
Emuhaya,West Bunyore,38215107505201,Ebukoolo Primary School,474,1
Emuhaya,West Bunyore,38215107505202,Ebukoolo Primary School,473,1
Emuhaya,West Bunyore,38215107505301,Mungoye Primary School,468,1
Emuhaya,West Bunyore,38215107505302,Mungoye Primary School,468,1
Emuhaya,West Bunyore,38215107505401,Ebusioya Nursery School,244,1
Emuhaya,West Bunyore,38215107505501,Ebutsalwa Pag Nursery School,294,1
Emuhaya,West Bunyore,38215107505601,Essalwa Primary School,490,1
Emuhaya,West Bunyore,38215107505602,Essalwa Primary School,490,1
Emuhaya,West Bunyore,38215107505701,Musirili Nursery School,385,1
Emuhaya,West Bunyore,38215107505702,Musirili Nursery School,385,1
Emuhaya,West Bunyore,38215107505801,Itumbu Primary School,662,1
Emuhaya,West Bunyore,38215107505802,Itumbu Primary School,661,1
Emuhaya,West Bunyore,38215107505901,Mumboko Nursery School,255,1
Luanda,Luanda Township,38214106800101,Mumboha Primary School,650,1
Luanda,Luanda Township,38214106800102,Mumboha Primary School,649,1
Luanda,Luanda Township,38214106800103,Mumboha Primary School,649,1
Luanda,Luanda Township,38214106800104,Mumboha Primary School,649,1
Luanda,Luanda Township,38214106800105,Mumboha Primary School,649,1
Luanda,Luanda Township,38214106800201,Mwamba Nursery School,375,1
Luanda,Luanda Township,38214106800301,Epang'a Primary School,700,1
Luanda,Luanda Township,38214106800302,Epang'a Primary School,699,1
Luanda,Luanda Township,38214106800401,Ebusiralo Primary School,517,1
Luanda,Luanda Township,38214106800402,Ebusiralo Primary School,517,1
Luanda,Luanda Township,38214106800403,Ebusiralo Primary School,517,1
Luanda,Luanda Township,38214106800501,Ebusatsi Nursery School,451,1
Luanda,Luanda Township,38214106800502,Ebusatsi Nursery School,451,1
Luanda,Luanda Township,38214106800601,Luanda Town Nursery School,477,1
Luanda,Luanda Township,38214106800602,Luanda Town Nursery School,477,1
Luanda,Luanda Township,38214106800701,Mulwaki Primary School,498,1
Luanda,Luanda Township,38214106800702,Mulwaki Primary School,497,1
Luanda,Luanda Township,38214106800801,Ekamanji Primary School,685,1
Luanda,Luanda Township,38214106806301,"Ack St. Stephen Hattiko, Mumboha",351,1
Luanda,Luanda Township,38214106806401,Ack St. Polycarp Epanga,28,1
Luanda,Wemilabi,38214106900901,Esiamarwi Nursery School,330,1
Luanda,Wemilabi,38214106901001,Ebulonga Primary Sch.,624,1
Luanda,Wemilabi,38214106901002,Ebulonga Primary Sch.,624,1
Luanda,Wemilabi,38214106901101,Ebusiratsi A.C. Primary School,379,1
Luanda,Wemilabi,38214106901201,Irumbi Primary School,380,1
Luanda,Wemilabi,38214106901202,Irumbi Primary School,380,1
Luanda,Wemilabi,38214106901301,Ebbiba Primary School,698,1
Luanda,Wemilabi,38214106901401,Essongolo Primary School,575,1
Luanda,Wemilabi,38214106901402,Essongolo Primary School,574,1
Luanda,Wemilabi,38214106901501,Wemilabi Primary School,547,1
Luanda,Wemilabi,38214106901502,Wemilabi Primary School,547,1
Luanda,Wemilabi,38214106901601,Wandeche Primary School,625,1
Luanda,Wemilabi,38214106901701,Emusenjeli Primary School,643,1
Luanda,Wemilabi,38214106901801,Itabalia Primary School,353,1
